,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
תרבות הדיור,3 ,750 ,764000 ,ייעוץ משפטי חיצוני,14,14,14,14,14
תרבות הדיור,3 ,780 ,764000 ,ארועים והוצאות אחרות,8,8,8,8,7
,,,764.,"סה""כ - תרבות הדיור:",495,466,489,489,463
,,,765.,מוסדות כלליים,,,,,
מוסדות כלליים,7 ,811 ,765000 ,השתתפות בתקציב מרכז השלטון המקומי,310,295,310,310,281
מוסדות כלליים,7 ,812 ,765000 ,"השתתפות בהפעלת ביה""ד למשמעת במ.ש.מ.",30,26,30,30,24
מוסדות כלליים,7 ,821 ,765000 ,תמיכה במוסדות בתחום קהילה וחינוך ,600,909,909,600,516
,,,765.,"סה""כ - מוסדות כלליים:",940,"1,230","1,249",940,821
,,,766.,ועדי עובדים,,,,,
ועדי עובדים,7 ,100 ,766000 ,משכורות כוללות,290,280,280,280,268
ועדי עובדים,7 ,560 ,766000 ,הוצאות משרד ושונות,20,20,20,20,19
ועדי עובדים,7 ,810 ,766000 ,השתתפות בהוצאות ועד עובדים,"2,120","2,000","2,000","2,000","1,837"
ועדי עובדים,7 ,811 ,766000 ,השתתפות בהוצאות ועד עובדי החינוך העל יסודי,300,300,300,300,248
ועדי עובדים,7 ,812 ,766000 ,השתתפות בהוצאות ועד גימלאים,940,880,880,880,805
,,,766.,"סה""כ  - ועדי עובדים:","3,670","3,480","3,480","3,480","3,176"
,,,767.,ביטוח ופיצויים שונים - כללי,,,,,
ביטוח ופיצויים שונים - כללי,2 ,440 ,767000 ,"(ביטוח אלמנטרי - מבנים, רכוש וציוד (אש","1,185","1,130","1,130","1,130","1,057"
ביטוח ופיצויים שונים - כללי,2 ,442 ,767000 ,"פיצויים שונים, שיפוי על נזקים והשתתפות עצמית  (חינוך בסעיף 811/442) ","2,000","1,800","2,000","2,000","1,897"
ביטוח ופיצויים שונים - כללי,2 ,444 ,767000 ,'ביטוח צד ג,"3,230","3,075","3,075","3,075","3,000"
ביטוח ופיצויים שונים - כללי,2 ,445 ,767000 ,"תאונות אישיות, חבות מעבידים, אחריות מקצועית",475,450,450,450,360
,,,767.,"סה""כ -  ביטוח ופיצויים שונים - כללי:","6,890","6,455","6,655","6,655","6,314"
,,,7691.,מינהל נשים,,,,,
מינהל נשים,7 ,100 ,769100 ,משכורות כוללות,380,310,380,380,340
מינהל נשים,7 ,540 ,769100 ,טלפון ישיר ודואר,12,10,15,15,9
מינהל נשים,5 ,750 ,769100 ,אבטחת מנהל נשים,12,10,13,13,7
מינהל נשים,7 ,755 ,769100 ,העסקה באמצעות חברת השמה,5,0,5,5,5
מינהל נשים,7 ,780 ,769100 ,הוצאות לפעולות,300,290,290,290,284
,,,7691.,"סה""כ - מינהל נשים:",709,620,703,703,644
,,,7692.,מרכז צעירים,,,,,
מרכז צעירים,82 ,100 ,769200 ,משכורות כוללות,300,100,200,0,0
מרכז צעירים,5 ,420 ,769200 ,תיקונים ואחזקה,15,11,11,25,0
מרכז צעירים,82 ,470 ,769200 ,ציוד משרדי שוטף,10,10,10,10,5
מרכז צעירים,82 ,540 ,769200 ,טלפון ישיר,5,5,5,5,1
מרכז צעירים,12 ,550 ,769200 ,פרסומים ודפוס,40,40,40,40,10
מרכז צעירים,10 ,570 ,769200 ,הוצאות מיכון,16,16,16,16,1
מרכז צעירים,5 ,750 ,769200 ,נקיון בקבלנות,40,40,40,73,0
מרכז צעירים,82 ,780 ,769200 ,הוצאות לפעולות,320,140,140,200,200
מרכז צעירים,82 ,781 ,769200 ,הוצאות לפעולות (במקביל בהכנסות - סעיף 2692/420),30,30,30,30,0
מרכז צעירים,82 ,782 ,769200 ,הוצאות לפעולות - פורום צעירים (ב- 2015 הועבר מסעיף 6112/784),250,0,0,0,0
מרכז צעירים,82 ,930 ,769200 ,רכישת ציוד יסודי,30,30,30,60,31
,,,7692.,"סה""כ - מרכז צעירים:","1,056",422,522,459,248
,,,76.,"סה""כ - שרותים שונים:",0,0,0,0,0
ביטוח ופיצויים שונים - כללי,2 ,445 ,767000 ,"תאונות אישיות, חבות מעבידים, אחריות מקצועית",475,450,450,450,360
,,,767.,"סה""כ -  ביטוח ופיצויים שונים - כללי:","1,561",902,"1,002",969,640
,,,7691.,מינהל נשים,,,,,
מינהל נשים,7 ,100 ,769100 ,משכורות כוללות,380,310,380,380,340
מינהל נשים,7 ,540 ,769100 ,טלפון ישיר ודואר,12,10,15,15,9
מינהל נשים,5 ,750 ,769100 ,אבטחת מנהל נשים,12,10,13,13,7
מינהל נשים,7 ,755 ,769100 ,העסקה באמצעות חברת השמה,5,0,5,5,5
מינהל נשים,7 ,780 ,769100 ,הוצאות לפעולות,300,290,290,290,284
,,,7691.,"סה""כ - מינהל נשים:",709,620,703,703,644
,,,7692.,מרכז צעירים,,,,,
מרכז צעירים,82 ,100 ,769200 ,משכורות כוללות,300,100,200,0,0
מרכז צעירים,5 ,420 ,769200 ,תיקונים ואחזקה,15,11,11,25,0
מרכז צעירים,82 ,470 ,769200 ,ציוד משרדי שוטף,10,10,10,10,5
מרכז צעירים,82 ,540 ,769200 ,טלפון ישיר,5,5,5,5,1
מרכז צעירים,12 ,550 ,769200 ,פרסומים ודפוס,40,40,40,40,10
מרכז צעירים,10 ,570 ,769200 ,הוצאות מיכון,16,16,16,16,1
מרכז צעירים,5 ,750 ,769200 ,נקיון בקבלנות,40,40,40,73,0
מרכז צעירים,82 ,780 ,769200 ,הוצאות לפעולות,320,140,140,200,200
מרכז צעירים,82 ,781 ,769200 ,הוצאות לפעולות (במקביל בהכנסות - סעיף 2692/420),30,30,30,30,0
מרכז צעירים,82 ,782 ,769200 ,הוצאות לפעולות - פורום צעירים (ב- 2015 הועבר מסעיף 6112/784),250,0,0,0,0
מרכז צעירים,82 ,930 ,769200 ,רכישת ציוד יסודי,30,30,30,60,31
,,,7692.,"סה""כ - מרכז צעירים:","1,056",422,522,459,248
,,,76.,"סה""כ - שרותים שונים:",0,0,0,0,0
,,,77.,פיתוח כלכלי,,,,,
,,,771.,מינהלת אזור התעשיה,,,,,
מינהלת אזור התעשיה,1 ,100 ,771000 ,משכורות כוללות,135,130,125,125,121
מינהלת אזור התעשיה,2 ,410 ,771000 ,שכר דירה,85,75,75,75,69
מינהלת אזור התעשיה,1 ,430 ,771000 ,הוצאות חשמל,8,7,9,9,5
מינהלת אזור התעשיה,1 ,470 ,771000 ,ציוד משרדי,5,3,5,5,0
מינהלת אזור התעשיה,1 ,540 ,771000 ,טלפון ישיר,6,5,7,7,4
מינהלת אזור התעשיה,12 ,550 ,771000 ,פרסומים ודפוס,34,34,34,34,20
מינהלת אזור התעשיה,1 ,710 ,771000 ,"הסעות (""שאטל"")",400,200,200,200,351
מינהלת אזור התעשיה,5 ,750 ,771000 ,נקיון בקבלנות,3,3,3,6,2
מינהלת אזור התעשיה,1 ,780 ,771000 ,הוצאות לפעולות,250,245,245,245,57
מינהלת אזור התעשיה,1 ,781 ,771000 ,העסקת שוטרים,0,0,0,0,150
,,,771.,"סה""כ - מינהלת אזור התעשיה:",926,702,703,706,779
,,,77.,"סה""כ - פיתוח כלכלי:",0,0,0,0,0
,,,78.,פיקוח עירוני,,,,,
,,,781.,פיקוח על חוקי העזר,,,,,
פיקוח על חוקי עזר וחניה,3 ,100 ,781000 ,משכורות כוללות - מנהלי רובעים ,"1,450","1,485","1,485","1,435","1,370"
פיקוח על חוקי עזר וחניה,3 ,102 ,781000 ,משכורות כוללות - פקחים ,"5,500","5,570","5,570","5,620","5,218"
פיקוח על חוקי עזר וחניה,3 ,127 ,781000 ,בגדי עבודה ושתייה,165,165,165,165,155
פיקוח על חוקי עזר וחניה,2 ,410 ,781000 ,שכר דירה הנהלת רובע א',33,30,31,31,29
פיקוח על חוקי עזר וחניה,3 ,430 ,781000 ,הוצאות חשמל - מינהלת רובע א',2,2,3,3,2
פיקוח על חוקי עזר וחניה,3 ,540 ,781000 ,"טלפון, משלוח הודעות בדבר קנסות",210,215,215,215,165
פיקוח על חוקי עזר וחניה,12 ,550 ,781000 ,פרסומים ודפוס ,15,15,15,15,12
פיקוח על חוקי עזר וחניה,10 ,570 ,781000 ,הוצאות מיכון,29,133,133,188,19
פיקוח על חוקי עזר וחניה,5 ,730 ,781000 ,אחזקת קטנועים ורכבים - תיפעולי ,536,500,500,500,492
פיקוח על חוקי עזר וחניה,3 ,742 ,781000 ,אחזקת מכונת צילום,1,1,3,3,0
פיקוח על חוקי עזר וחניה,5 ,750 ,781000 ,נקיון בקבלנות (משרדי רובעים),39,38,38,38,33
פיקוח על חוקי עזר וחניה,3 ,755 ,781000 ,"העסקת כ""א באמצעות חב' השמה",50,56,50,50,17
פיקוח על חוקי עזר וחניה,3 ,780 ,781000 ,הוצאות אחרות (כולל פינוי גרוטאות) והחרמות,70,70,70,70,54
,,,781.,"סה""כ - פיקוח על חוקי העזר:","8,100","8,280","8,278","8,333","7,567"
,,,782.,בית המשפט העירוני,,,,,
בית המשפט העירוני,1 ,100 ,782000 ,משכורות כוללות,300,285,300,300,281
בית המשפט העירוני,1 ,780 ,782000 ,השתתפות בהוצאות בית המשפט העירוני,450,360,500,500,272
,,,782.,"סה""כ -  בית המשפט העירוני:",750,645,800,800,552
,,,78.,"סה""כ  -פיקוח עירוני:",0,0,0,0,0
,,,79.,שרותים חקלאיים,,,,,
שרותים חקלאיים,7 ,810 ,791000 ,הוצאות ו/או העברה לקרנות לעניינים חקלאיים,34,40,34,34,41
,,,79.,"סה""כ - שרותים חקלאיים:",34,40,34,34,41
,,,7.,"סה""כ - שרותים מקומיים:",0,0,0,0,0
,,,8.,שרותים ממלכתיים,,,,,
,,,81.,ח י נ ו ך,,,,,
,,,811.,מינהלת אגף החינוך והרווחה,,,,,
מינהל אגף החינוך,81 ,100 ,811000 ,משכורות כוללות,"2,980","2,710","2,684","2,600","2,395"
מינהל אגף החינוך,81 ,102 ,811000 ,שכר עובדי חשבות ופיקוח כספי,"1,100","1,060","1,090","1,140",952
מינהל אגף החינוך,2 ,410 ,811000 ,שכר דירה,420,380,400,400,278
מינהל אגף החינוך,5 ,420 ,811000 ,תיקונים ואחזקה,32,32,32,30,29
מינהל אגף החינוך,81 ,430 ,811000 ,"הוצאות חשמל (מ- 2014 רווחה ותנו""ס בנפרד)",87,84,84,84,178
מינהל אגף החינוך,2 ,442 ,811000 ,"פיצויים שונים, שיפוי על נזקים והשתתפות עצמית ",180,150,75,75,9
מינהל אגף החינוך,81 ,470 ,811000 ,ציוד משרדי שוטף ,43,46,46,46,49
מינהל אגף החינוך,81 ,511 ,811000 ,הוצאות כיבוד ושתיה ,51,51,51,51,51
מינהל אגף החינוך,81 ,521 ,811000 ,פתוח מנהלי בתי הספר,73,100,100,80,53
מינהל אגף החינוך,81 ,522 ,811000 ,ספרות מקצועית,5,5,5,5,2
מינהל אגף החינוך,11 ,523 ,811000 ,דמי חבר בארגונים - כלל אגף חינוך ,390,370,370,370,345
מינהל אגף החינוך,5 ,530 ,811000 ,אחזקת רכב מינהלי - עירוני (2),85,80,85,85,78
מינהל אגף החינוך,81 ,540 ,811000 ,טלפון ישיר,160,155,200,200,172
מינהל אגף החינוך,12 ,550 ,811000 ,פרסומים ודפוס,100,100,100,100,97
מינהל אגף החינוך,10 ,570 ,811000 ,הוצאות מיכון,87,85,85,85,71
מינהל אגף החינוך,5 ,730 ,811000 ,אחזקת רכב - תיפעולי (2) (ב- 2014 אחזקת מיול בסעיף 82929/730),40,40,44,44,33
מינהל אגף החינוך,81 ,742 ,811000 ,אחזקת מכונות צילום,11,10,11,11,9
מינהל אגף החינוך,5 ,747 ,811000 ,אחזקה וביטוח מזגנים,150,150,160,160,94
מינהל אגף החינוך,5 ,750 ,811000 ,אבטחה בקבלנות,352,320,320,323,279
מינהל אגף החינוך,5 ,751 ,811000 ,נקיון בקבלנות ,331,320,322,329,288
מינהל אגף החינוך,81 ,752 ,811000 ,שירותי חשבות,102,110,110,60,130
מינהל אגף החינוך,5 ,753 ,811000 ,אחזקת מעלית  ,13,13,13,14,11
מינהל אגף החינוך,81 ,755 ,811000 ,העסקה באמצעות חברת השמה,0,55,55,0,91
מינהל אגף החינוך,81 ,780 ,811000 ,הוצאות שוטפות וארועים,16,16,16,16,16
מינהל אגף החינוך,81 ,781 ,811000 ,אירועי שבוע חינוך,28,0,0,0,0
מינהל אגף החינוך,82 ,782 ,811000 ,לשכת קשר לחיילים (מ- 2014 בסעיף 8281/783),0,0,0,0,77
מינהל אגף החינוך,81 ,784 ,811000 ,"רזרבה ליוזמות ופרוייקטים פדגוגיים (תשע""ו)","2,050",19,19,"2,050",0
מינהל אגף החינוך,81 ,930 ,811000 ,רכישת ציוד יסודי,25,36,36,36,20
מינהל אגף החינוך,81 ,950 ,811000 ,"ליווי רו""ח לבתי-ספר בניהול עצמי",110,148,148,88,80
מינהל אגף החינוך,81 ,960 ,811000 ,"רזרבת ר' האגף להוצאות ב""צ",329,330,330,330,326
מינהל אגף החינוך,81 ,961 ,811000 ,רזרבת ר' האגף לניהול עצמי ,70,100,100,100,98
,,,811.,"סה""כ - מינהל אגף החינוך:","9,420","7,075","7,091","8,912","6,310"
,,,8119.,פנסיה ופיצויים - אגף החינוך,,,,,
פנסיה ופיצויים - אגף החינוך,81 ,310 ,811900 ,פנסיה ,"17,180","15,500","15,500","15,500","13,875"
פנסיה ופיצויים - אגף החינוך,81 ,320 ,811900 ,פיצויים והסדרי פרישה לעובדים ,"3,500","2,900","2,500","2,500","2,036"
,,,8119.,"סה""כ - פנסיה ופיצויים - אגף החינוך:","20,680","18,400","18,000","18,000","15,911"
,,,812.,חינוך קדם יסודי - גני ילדים,,,,,
"חינוך קדם יסודי - גנ""י",81 ,100 ,812000 ,"משכורות כוללות - סייעות לגננות (מתגברות תשע""ו בסעיף 812/103)","18,150","16,235","16,715","16,070","15,572"
"חינוך קדם יסודי - גנ""י",81 ,101 ,812000 ,משכורות כוללות - מינהלה ,870,838,825,825,816
"חינוך קדם יסודי - גנ""י",81 ,102 ,812000 , משכורות כוללות - סייעות לגננות - חינוך מיוחד,"2,185","1,630","1,631","1,915","1,329"
"חינוך קדם יסודי - גנ""י",81 ,103 ,812000 ,"משכורות כוללות - סייעות מתגברות לשנה""ל תשע""ו",925,894,894,790,0
"חינוך קדם יסודי - גנ""י",81 ,106 ,812000 ,משכורות כוללות - סייעות רפואיות (ב- 2015 הופרד מיסודיים סעיף 8132/106) ,"1,105",0,0,0,0
"חינוך קדם יסודי - גנ""י",81 ,107 ,812000 ,"שכר תיגבור לימודים, יוזמות ופרוייקטים פדגוגיים  (כולל ש' הוראה אפקטיביות) ",450,497,497,407,389
"חינוך קדם יסודי - גנ""י",81 ,430 ,812000 ,הוצאות חשמל,815,725,725,725,664
"חינוך קדם יסודי - גנ""י",81 ,432 ,812000 ,הוצאות צריכת מים ואגרת ביוב,540,456,457,400,441
"חינוך קדם יסודי - גנ""י",81 ,511 ,812000 ,שתיה וכיבוד ,24,24,26,24,20
"חינוך קדם יסודי - גנ""י",81 ,540 ,812000 ,טלפון ישיר,265,244,244,235,219
"חינוך קדם יסודי - גנ""י",12 ,550 ,812000 ,פרסומים ודפוס,50,50,50,50,29
"חינוך קדם יסודי - גנ""י",10 ,570 ,812000 ,הוצאות מיכון,111,107,107,107,104
"חינוך קדם יסודי - גנ""י",81 ,720 ,812000 ,הוצאות שוטפות ושונות ,577,664,663,563,532
"חינוך קדם יסודי - גנ""י",81 ,760 ,812000 ,"גננות עובדות מדינה (טרום חובה + חובה)  (8,295 אלש""ח במקביל בהכנסות בסעיף 3122/921)","22,010","19,890","19,953","19,235","18,267"
"חינוך קדם יסודי - גנ""י",81 ,784 ,812000 ,הוצאות להפעלת יוזמות ופרוייקטים פדגוגיים ,424,825,825,375,586
,,,812.,"סה""כ - חינוך קדם יסודי - גני ילדים:","48,501","43,079","43,612","41,721","38,968"
,,,8121.,חינוך קדם יסודי - מעון יום,,,,,
חינוך קדם יסודי - מעון יום,81 ,780 ,812100 ,"הוצאות שונות - מעון יום (""רשת בטחון"")",0,100,200,200,88
,,,8121.,"סה""כ - חינוך קדם יסודי - מעון יום:",0,100,200,200,88
,,,8132.,בתי - ספר יסודיים,,,,,
בתי - ספר יסודיים,81 ,101 ,813200 ,משכורות כוללות - מזכירות ,"2,290","2,160","2,235","2,305","2,205"
בתי - ספר יסודיים,81 ,102 ,813200 ,שכר אחראים למשק ותחזוקה ,"2,030","1,960","2,015","2,015","2,007"
בתי - ספר יסודיים,81 ,103 ,813200 ,"ספרניות בבתיה""ס","1,220","1,180","1,177","1,130","1,060"
בתי - ספר יסודיים,81 ,105 ,813200 ,משכורות כוללות מזכירות (במקביל בהכנסות בסעיף 3132/921),375,346,375,375,334
בתי - ספר יסודיים,81 ,106 ,813200 ,משכורות כוללות - סייעות רפואיות,425,"1,160","1,160",960,867
בתי - ספר יסודיים,81 ,107 ,813200 ,"שכר תיגבור לימודים, יוזמות ופרוייקטים פדגוגיים (כולל ש' הוראה אפקטיביות) ","2,024","2,971","2,971","2,036","2,812"
בתי - ספר יסודיים,81 ,108 ,813200 ,סיוע לילדים מתקשים כולל כיתות חינוך מיוחד (ב- 2015 הופרד מסעיף 107),108,0,0,0,0
בתי - ספר יסודיים,10 ,570 ,813200 ,הוצאות מיכון,285,282,282,282,265
בתי - ספר יסודיים,81 ,750 ,813200 ,נקיון בקבלנות,"3,465","3,393","3,380","3,380","2,821"
בתי - ספר יסודיים,81 ,755 ,813200 ,"העסקת כ""א באמצעות חב' השמה - מ""מ מזכירות ושרתים ",250,270,270,150,203
בתי - ספר יסודיים,81 ,780 ,813200 ,"לימודי העשרה (קרן קרב ותל""ן) (ב- 2015 עבר מסעיף 81792/750)","2,914",0,0,0,0
בתי - ספר יסודיים,81 ,784 ,813200 ,הוצאות להפעלת יוזמות ופרוייקטים פדגוגיים ,864,"1,705","1,705","1,161","1,506"
